CartoSanté; ; ; ; ; ; ; ; ; 
21292;Genlis;30.4;3.3;14.7;7.8;10;2;15.7;2.2
21317;Is-sur-Tille;32.4;3.3;32.2;7.7;10.3;1.9;17.8;2.9
21416;Mirebeau-sur-Bèze;32.6;3;0;11.8;14.7;5.7;17.7;2.9
21425;Montbard;24.9;3.5;10.3;11.3;11.3;2;21.8;4.1
21464;Nuits-Saint-Georges;32.8;3.4;41.3;9.6;12.4;1.3;16.5;2.1
21501;Pouilly-en-Auxois;28.4;3.2;60.5;9.7;21.8;0;18;3.6
21584;Saulieu;26.2;2.5;20.6;5.1;20.6;0;N/A - secret statistique;3.1
21603;Semur-en-Auxois;24.2;3.3;8.2;7.4;15.7;0;18.6;3.3
21607;Seurre;28.7;2.8;0;8.5;10.6;2.1;19.8;3.2
21663;Venarey-les-Laumes;26.2;2.2;0;3.5;13.9;2.3;19;3.5
22004;Bégard;28.9;3.3;21.1;7.4;19;2.1;18.8;4.2
22020;Broons;32.7;3.5;42.2;9.1;9.1;0;18.1;2.8
22025;Callac;19.3;2.9;17.9;5.4;25.1;0;23.2;1.8
22050;Dinan;30.8;3.7;36.6;7.7;14.5;2;16.7;2.3
22054;Erquy;37;3.4;34.7;11.6;25.4;4.4;23.7;4.6
22055;Binic-Étables-sur-Mer;33.5;3.2;26.6;6.7;19.3;0;21.8;2.7
22070;Guingamp;26.4;2.9;18.8;5.1;16.3;2.1;18.5;2.7
22093;Lamballe-Armor;33.3;2.9;27.7;4.9;14.3;2.9;16.3;2.6
22113;Lannion;31.7;3.5;48;8.5;22.9;1.8;19.3;3.1
22121;Lanvollon;26.3;2.9;46.1;4.6;15;0;16.3;2.3
22136;Loudéac;33;2.6;20.1;4.5;18.3;0;19;3
22143;Matignon;36.3;2.9;34.6;6.9;20.8;2.2;22.6;4.6
22147;Merdrignac;34.2;3;28.4;7.1;11.3;0;20.8;2.8
22162;Paimpol;29.8;3.5;21.8;7.8;23.5;3.3;20.9;4.8
22172;Plancoët;32.7;3;23.3;7;11.7;3;18.5;3.9
22186;Pléneuf-Val-André;38.2;3.1;61.8;9.3;24.7;0;21.2;4.6
22194;Plestin-les-Grèves;37.6;3;43.6;10.9;43.6;0;23;4.4
22203;Plœuc-L'Hermitage;29.5;1.4;17.5;0;10.5;3.4;17.4;1.8
22206;Châtelaudren-Plouagat;25.9;2.8;41.5;6.6;21.6;1.7;14.5;2.5
22222;Plouha;33.5;3;20.3;12.2;28.4;7.6;23.7;2
22262;Quintin;28.4;2.2;12.4;6.2;10.5;4.9;15.3;2.5
22266;Rostrenen;23.8;3.1;37.9;7;24.9;0;21.2;3.2
22278;Saint-Brieuc;29.4;3.5;31.6;7.3;12.3;2.4;18.9;3.2
22362;Tréguier;29.8;3.5;33.6;11.8;25.2;1.6;20.9;3.8
23008;Aubusson;21.5;3.6;15.1;8.5;28.7;2;21.9;5.5
23013;Auzances;31.9;2.5;34.5;5.2;32.8;0;24.9;5.2
23025;Bonnat;16.8;2.8;0;3;27;0;24.2;6
23030;Bourganeuf;14.9;2.9;11.9;5.9;29.7;2.3;22.4;4.7
23031;Boussac;25.4;2.4;0;8.3;38.1;0;25.1;3.3
23075;Dun-le-Palestel;17.9;2.5;0;3.4;27.5;0;25.6;5.2
23076;Évaux-les-Bains;26.2;2.9;0;9.6;36.3;0;22.4;3.8
23096;Guéret;16.2;2.9;11.4;6.4;27.3;1.3;21.4;4.8
23176;La Souterraine;19.7;2.9;17.6;7.1;29.1;0.9;25;5.3
24037;Bergerac;34.2;3;22.1;5.6;21.6;1.6;20.6;3.4
24064;Brantôme en Périgord;26.7;3.1;24.8;6.2;24.8;2.4;20.4;2.5
24067;Le Bugue;30.7;3.2;11.7;8.8;22.8;3.4;21.1;4.1
24164;Excideuil;23.4;3.1;31.8;7.1;27;1.5;N/A - secret statistique;4
24167;Eymet;30.3;2.1;0;4.8;15.9;3.1;20.3;3.2
24223;Lalinde;31.2;2.5;19.2;4.5;20.5;1.3;N/A - secret statistique;3.2
24291;Montignac-Lascaux;28.3;3.1;0;8.4;23.7;5.9;21.6;2.3
24294;Montpon-Ménestérol;32.2;2.9;11.5;6.3;18.5;0;23.3;2.9
24299;Mussidan;29.2;3.1;19.4;5.8;19.4;1.9;21.8;1.9
24309;Neuvic;26.9;2.3;22.7;4.5;15.9;4.5;19.5;2.3
24311;Nontron;25.1;2.9;26.7;6.9;16.5;1;23;3.2
24322;Périgueux;30.8;3.5;22.4;8.9;18;2.1;20.6;3.5
24352;Ribérac;18.9;2.4;28.5;4;21.1;1.1;21.8;2.3
24372;Saint-Astier;30.1;2.3;9.3;5.6;20.4;1.8;19.6;1.9
24396;Saint-Cyprien;28;3.8;0;10;32.4;4.8;20.4;2.5
24520;Sarlat-la-Canéda;23.3;3.5;17.2;7.9;23.7;0;21;3.8
24547;Terrasson-Lavilledieu;26.3;3.1;6.3;5.7;23.3;2.5;20.8;3.8
24551;Thiviers;23.7;3.9;21;8.4;25.2;1.4;22.4;4.2
24571;Vergt;28.7;2.9;21.2;8.5;21.2;0;18;6.4
25047;Baume-les-Dames;26.8;5.2;29.4;14;12.5;2.9;18.2;2.9
25056;Besançon;26.6;4.9;40.1;11.6;12.8;2.5;15.6;3.1
25315;L'Isle-sur-le-Doubs;28;3.7;30.4;14.2;18.2;4.1;19;3
25356;Maîche;26.9;2.7;11.8;5.9;8.2;3.5;14.8;2.4
25388;Montbéliard;31;3.7;13;6.9;12.5;1.8;N/A - secret statistique;3.7
25411;Morteau;30.4;3.5;19;6.6;6.3;3.2;N/A - secret statistique;2.8
25434;Ornans;33.3;4.1;33.3;11.3;17.3;1.3;N/A - secret statistique;3.3
25462;Pontarlier;34.8;3.3;23.9;7.2;6.4;2.6;13.5;2.9
25463;Pont-de-Roide-Vermondans;32.8;2.8;6.7;3.3;10.7;0;18.3;2.7
25495;Roche-lez-Beaupré;28.4;4.6;31.3;9.4;16.7;4.2;17.4;3.1
25512;Le Russey;27.6;2.2;33.2;3.3;11.6;3.4;11;3.3
25527;Saint-Vit;29.5;5;19.2;11.5;12.5;0.9;16.3;2.4
25532;Saône;30.4;3.8;38.8;15.5;14.5;3.8;15;2.9
25578;Valdahon;28.8;4.1;3.7;10.1;10.4;3;14.3;3.4
26037;Beaumont-lès-Valence;34;3.4;68.6;9.2;19.8;3;15.8;2.3
26063;Buis-les-Baronnies;21.6;2.8;43.2;12.9;19.4;4.3;19.2;2.2
26064;Chabeuil;35.3;3.3;48.4;10.4;19.4;5.5;N/A - secret statistique;2.1
26108;Crest;28.4;3.3;66.6;8.1;25.2;8.3;17.8;2.4
26113;Die;25;3.7;17.8;8;27.5;6.9;19.4;3.6
26114;Dieulefit;23.8;3.8;13.5;10.8;21.6;13;18.2;4
26116;Donzère;28.7;2.8;30;6;19.5;0;15.2;3
26165;Livron-sur-Drôme;31.8;3.1;37.4;4.8;17.3;2.7;17.1;3.1
26176;Marsanne;30.7;2.7;66.3;13.3;21.5;3.3;17.6;0
26198;Montélimar;31.1;3.4;32.5;7.6;21.2;3;17.6;2.8
26220;Nyons;20.5;3.5;51.3;9.5;29.3;4.2;22.8;4.4
26235;Pierrelatte;29;3.2;19.9;4;19.3;2.6;17.9;2.7
26281;Romans-sur-Isère;25.7;3.9;45.2;7.8;25.4;3.3;18.4;2.6
26301;Saint-Donat-sur-l'Herbasse;26.1;2.8;40.2;7.2;18.5;3.2;17;2.4
26307;Saint-Jean-en-Royans;20;3.6;53.1;12.9;22;4.5;17.2;3.8
26324;Saint-Paul-Trois-Châteaux;28.4;3.1;74.8;8.2;18;2.9;17.4;2.2
26325;Saint-Rambert-d'Albon;25.1;2.7;27.7;5.1;16.6;0;17.9;2.8
26333;Saint-Vallier;24.2;2.3;18.2;3.2;10;1.8;17.8;1.8
26362;Valence;33.4;3.9;37.5;9;17.9;3.2;18.7;3.4
27016;Les Andelys;27.7;2.3;11.9;3.6;7.8;0;19.6;2.4
27051;Beaumont-le-Roger;27;2.9;21.2;6.4;10.6;0;26.9;2.1
27056;Bernay;27.8;2.5;18;5.7;12.3;2.3;N/A - secret statistique;3
27065;Beuzeville;26.4;3.3;16.8;5.1;12.6;1.7;17.2;1.7
27103;Bourg-Achard;21.7;3.1;18.2;7.7;10;1.8;16.7;1.8
27105;Grand Bourgtheroulde;24.5;2.6;0;5.2;13.7;6.8;16.1;1.7
27112;Breteuil;23.2;2.1;0;2.5;17.3;0;18.9;1.2
27116;Brionne;23.1;2.7;0;4.9;8.7;0;18.4;1.9
27165;Conches-en-Ouche;22.6;1.5;21.4;4.3;10;2.8;19.3;2.1
27170;Cormeilles;31.3;2.6;26.8;5.4;10.7;10.4;18.9;2.7
27198;Mesnils-sur-Iton;23.4;1.3;22.2;1.1;5.6;2.2;15.9;1.1
27226;Étrépagny;27.8;2.2;17.6;6.1;11.4;1.7;18;0.9
27229;Évreux;22.5;2.4;9.4;4.5;7.3;0.9;18.8;2.2
27246;Fleury-sur-Andelle;24.6;3.6;38.5;11.6;17.3;3.8;20.8;3.2
27275;Gaillon;30.5;2.4;21.7;5.1;5.4;0.7;18.3;2.2
27284;Gisors;25.6;1.7;3.2;1.9;11;1.3;17.7;1.6
27306;Guichainville;26.8;2.9;52.4;15.7;7;7;24.9;3.5
27375;Louviers;28.8;3.1;18.5;7.1;10.3;1.7;18.2;3
27428;Le Neubourg;26.3;2.5;33;6.6;9.3;3.3;17.2;1.1
27448;Pacy-sur-Eure;24;1.5;29.8;1.8;7.2;1.2;16.7;1.8
27467;Pont-Audemer;18;3;20.3;6.3;10.6;2;19;2.8
27469;Pont-de-l'Arche;27.8;4;17.7;11.5;11.9;1.7;17.5;2.7
27507;Saint-André-de-l'Eure;23.4;2.4;22.4;2.2;10.1;0;16.9;1.1
27679;Verneuil d'Avre et d'Iton;29.9;2.9;29.1;7.6;11;1.1;20.1;4.1
27681;Vernon;31.7;2.3;23.8;4.4;6.1;1.5;N/A - secret statistique;2.6
28007;Anet;27.3;2;20.9;3.7;7.7;0.5;16.5;2.1
28015;Auneau-Bleury-Saint-Symphorien;31.7;2.2;11.9;3.6;11.3;2.4;15;3
28051;Bonneval;25.1;1.7;9.5;2.8;11.3;0;18.5;1.9
28061;Brou;21.2;2;11.8;4.7;13;0;21.8;3.5
28085;Chartres;36.8;2.8;27.9;6.1;8.3;1.7;17.5;2.7
28088;Châteaudun;18.6;2.8;9;6.3;10.8;0.9;19.2;3.1
28089;Châteauneuf-en-Thymerais;31.1;2.2;16.8;5.9;8.4;1.7;15.7;1.7
28103;Cloyes-les-Trois-Rivières;20.2;2.5;0;4.5;9.1;0;19.8;1.5
28116;Courville-sur-Eure;31.4;1.9;15.6;3.1;6.2;1.5;N/A - secret statistique;1.6
28134;Dreux;29.7;2.1;9.2;3.3;8.5;0.9;17.2;2.2
28140;Épernon;32.9;2.7;13.5;6.7;2.7;0;14.7;2.2
28196;Illiers-Combray;30.5;1.7;0;2.7;7.3;0;N/A - secret statistique;1.8
28199;Janville-en-Beauce;33.1;2.2;26.1;6.1;5.2;1.7;N/A - secret statistique;3.5
28214;La Loupe;15.7;2.8;0;4.1;10.2;6.1;18.4;1
28227;Maintenon;32.6;2.5;0;5.2;5.2;1.3;15.9;2.6
28279;Nogent-le-Roi;30.8;2.2;14.6;6.6;8.7;4.3;N/A - secret statistique;1.5
28280;Nogent-le-Rotrou;19.6;2.5;13.4;6;13.4;0;19.3;3.7
28373;Senonches;22.4;2.8;0;7.8;12.5;3.1;20.7;3.1
28422;Les Villages Vovéens;31.6;2.7;20.1;4;9.1;2;17.4;2
29004;Bannalec;20.9;3.2;14.9;7.4;11.9;3;16.9;1.5
29019;Brest;27.3;5;34.8;12.1;14.8;3;16.2;2.7
29020;Briec;28.8;3.4;25.8;7.7;17.2;1.7;15.9;2.6
29024;Carhaix-Plouguer;21.5;3.2;17.1;8.1;30.7;1.7;21.3;2.6
29026;Châteaulin;29.2;3.6;15.3;10.2;23.4;4.1;19.6;3.1
29027;Châteauneuf-du-Faou;26.6;3.1;23;10.7;30.6;0;22.2;3.1
29039;Concarneau;27.7;4.3;26.6;10.9;26.8;2.5;22.8;4
29042;Crozon;30.2;4.6;43.3;11.1;27.2;2.5;20.4;3.7
29046;Douarnenez;28.2;3.9;57.2;8.6;42.1;4.7;19.5;4.1
29053;Le Faou;31.4;3.9;70.7;12.4;22.1;0;15.5;2.7
29058;Fouesnant;32.9;3.8;38.8;12;22.5;1.5;20.9;3.1
29069;Guilers;34.4;4.8;52.7;7.5;15.1;3;15.1;3
29103;Landerneau;31.8;4.5;30.2;10.3;16.4;3;15.4;2.5
29105;Landivisiau;32.8;3.6;23.9;8.2;18.7;3.4;15.8;2
29113;Lanmeur;37.1;3.4;50.6;8.4;32;3.3;19.3;3.4
29124;Lesneven;36.8;3.7;37.9;9.9;26.2;1.1;18.4;2.9
29147;Mellac;20.9;4;40.1;10;14.1;7.9;16.1;2
29150;Moëlan-sur-Mer;28.1;3.9;43.6;14;34;1.7;21.4;3.5
29151;Morlaix;34.7;3.7;27.4;7.1;25.2;1.4;19.7;3.3
29160;Plabennec;34.8;4.1;23.9;7.2;18.3;1.6;14;3.2
29162;Pleyben;26.8;3.5;28.8;5.8;30.3;0;18.8;1.4
29174;Plonéour-Lanvern;27.2;3.6;61;7.3;18.3;2.4;16.8;1.2
29178;Ploudalmézeau;33.6;3.8;27.8;10.6;22.2;1.1;17.7;3.3
29195;Plouguerneau;34.2;3.1;43.4;8.1;19.2;2.4;18.3;3.1
29197;Plouhinec;28.1;4.8;29.7;10.7;38.6;2.3;22.1;4.7
29199;Plouigneau;34;3.4;22;8.8;29.8;0;20.9;2.2
29218;Pont-Croix;25.9;5.6;22.1;19.9;26.5;0;22.2;2.2
29220;Pont-l'Abbé;30;4.4;31.6;11.1;29.5;2.5;19.1;3.4
29232;Quimper;27.4;4.5;37;11.4;16.5;1.8;17.2;3.4
29233;Quimperlé;20;4.4;39.3;13.3;20.6;7.7;16.9;3.9
29241;Rosporden;23.9;3.8;32.6;9.8;20.5;2.7;18;2.8
29259;Saint-Pol-de-Léon;33.6;3.8;36.8;8.8;28.4;2.8;20.6;2.9
29260;Saint-Renan;33.5;4.5;49.3;11.5;20.3;3.3;16.5;3.3
29274;Scaër;20.9;2.6;27.6;5.5;22.1;0;21.5;2.8
2A004;Ajaccio;28.5;3.5;32.3;8.8;32.8;1.7;17.6;3.3
2A041;Bonifacio;28.7;3.5;31.5;6.3;31.5;0;19.6;3.1
2A130;Grosseto-Prugna;31.8;3.8;36.9;11.1;50.8;0;19.9;5.5
2A247;Porto-Vecchio;32.1;5.6;33.9;13.1;32.5;3.8;22.3;2.4
2A249;Propriano;27.1;3.6;10.6;9.5;28.6;2.1;N/A - secret statistique;5.3
2A272;Sartène;26.2;4;33.1;9.9;31.5;0;17.3;5
2B033;Bastia;26.4;3.5;39.4;9.1;38.9;2.2;N/A - secret statistique;4.4
2B042;Borgo;32.9;4.4;24.9;7.5;44.4;2.8;19.7;2.8
2B050;Calvi;24.3;3.9;36.2;9.9;28;0;19.7;4.5
2B096;Corte;22.3;3;20.9;8.4;29.2;0;15.1;2.8
2B123;Ghisonaccia;26.4;3;29.8;6;36.7;0;19.7;4
2B134;L'Île-Rousse;28.9;3.4;47.8;7.2;34.2;3.1;20.5;3.2
2B207;Penta-di-Casinca;26.9;3.7;17.7;10;55.4;1.2;20.3;2.9
2B251;Prunelli-di-Fiumorbo;26.6;5.2;10.4;11.5;35.5;4.1;17.9;3.1
2B298;Saint-Florent;27.2;5.7;19.1;15.3;42.1;3.8;N/A - secret statistique;3.8
30003;Aigues-Mortes;42.9;3.8;42.8;11.7;49;2.9;27;4.3
30006;Aimargues;30.4;5.1;47.8;9.6;20.3;4.7;17.5;2.4
30007;Alès;33.5;3.3;34.4;5.1;27.4;2.9;19.3;3.4
30010;Anduze;35.2;3.2;46.7;5.8;22.2;0;20.2;2.3
30028;Bagnols-sur-Cèze;24.7;2.7;17.6;6.5;20;1.9;18.6;2.9
30029;Barjac;28.9;2.3;16.4;4.9;36.1;3.2;22;3.3
30032;Beaucaire;21.2;3.1;26.3;5.4;21.4;1.1;17.5;3
30034;Bellegarde;23.7;3.6;12.6;10.1;17.7;2.4;16.4;2.5
30037;Bessèges;29.5;4.2;18.6;3.7;27.9;0;25.9;3.7
30047;Bouillargues;24.3;4.3;44;10.6;22;3.4;16.7;3.5
30061;La Calmette;28.5;3.6;29.1;13.1;39.3;8.5;17.2;2.9
30062;Calvisson;33.2;3.9;95.3;10.2;21.8;8;15.8;1.4
30132;La Grand-Combe;28.7;2.7;18.3;3.7;35.9;2.4;20.2;3.7
30155;Manduel;21.5;3.6;26.5;5.3;33.6;0;16.6;2.7
30189;Nîmes;23.9;4;46.2;10;23;3.2;17.9;3.5
30202;Pont-Saint-Esprit;23.8;2.5;20.1;4;24.1;2.9;18.4;3
30210;Quissac;30.4;4.8;103.4;14.9;23;2.3;19.3;3.4
30212;Remoulins;23.2;4;37.6;11.3;19.6;3;15.7;2.3
30217;Rochefort-du-Gard;24.2;2.9;29.1;6.5;18.2;2.8;15.1;2.2
30221;Roquemaure;23.5;2.5;33.3;6.7;21.3;1.3;15.8;2.7
30227;Saint-Ambroix;32.1;3.6;17.6;3.5;31.7;1.1;21.9;2.9
30255;Saint-Geniès-de-Malgoirès;27.6;3.1;20.7;6.2;20.2;2;15.4;1.6
30258;Saint-Gilles;22.2;2.4;20.8;4.9;34.7;1.4;17.9;3.5
30263;Saint-Hippolyte-du-Fort;32;2.9;49.4;8.6;34.6;7.1;19.1;3.7
30269;Saint-Jean-du-Gard;29.7;3.6;35.8;12.5;35.8;3.6;N/A - secret statistique;7.2
30321;Sommières;33.7;3.1;48.1;6.4;20.4;4.7;16.2;2.4
30334;Uzès;36.7;3.9;42.6;7.7;23.2;3;20.2;2.7
30341;Vauvert;27.3;3.4;45.5;6.3;19.9;3.3;18;2.8
30344;Vergèze;32.1;5;35.6;8.3;19.6;3.5;16.1;2.4
30350;Le Vigan;33.1;3.4;59.2;6.8;38;5;N/A - secret statistique;4.2
31033;Auterive;27.8;3.8;44.7;8.1;12.5;3.5;15.7;2.2
31042;Bagnères-de-Luchon;23.7;5.8;39.4;15.7;35.4;0;22.8;7.9
31066;Bessières;29.7;2.9;40.2;5.6;20.9;1.6;14.6;2.4
31080;Boulogne-sur-Gesse;21.3;3.1;0;8.9;32;0;21.9;1.8
31106;Caraman;31.3;2.4;64.8;5.2;15.5;0;14.3;2.6
31107;Carbonne;30.1;4.2;63.6;10.4;20.4;6.2;19.4;2.7
31135;Cazères;28.6;3.2;32.6;6.5;32.6;2.6;19;3.3
31202;Fronton;30;3.2;55.5;12.2;16.7;8.6;14.4;2.2
31232;Grenade;30.6;3.5;41.5;7.5;17.4;4.1;13.7;2.1
31239;L'Isle-en-Dodon;25.1;3.1;46.6;7;14;0;22.1;2.3
31324;Martres-Tolosane;31.2;4.6;17.5;8.7;29.7;3.4;N/A - secret statistique;3.5
31358;Montastruc-la-Conseillère;30.1;5.1;86.3;15.3;19.2;11.3;14.4;1.9
31390;Montréjeau;21.2;2.7;18.6;6;31.6;0;21.1;3.2
31396;Nailloux;29.2;4.8;66.2;14.9;8.3;0;13.2;1.7
31399;Noé;31.7;5.3;28.7;8.6;15.8;0;16.3;2.9
31421;Pins-Justaret;32;4.4;48.3;12.1;13.3;1.2;16.3;3
31451;Revel;24.5;3.7;34.3;9.4;23.2;2.5;N/A - secret statistique;2.6
31454;Rieumes;27.9;2.9;26.5;8.6;25.8;2.6;16.7;2
31483;Saint-Gaudens;27;3.1;32.3;6.2;25.6;2.1;20;3.5
31499;Saint-Lys;25.4;3;54.6;9.6;21.9;1.3;15.9;2
31523;Salies-du-Salat;28;3;21.3;7.4;36.2;2.1;21.8;4.3
31555;Toulouse;24.7;4.6;55.3;10.2;14.4;3.4;13.3;2.8
31573;Verfeil;29.1;3.3;25.6;11.5;19.2;0;12.8;1.3
31574;Vernet;30.6;4.6;85.5;16;15;0;15.3;3.2
31582;Villefranche-de-Lauragais;31.8;4.8;80.3;11.6;19.6;3.8;15.3;2.2
31584;Villemur-sur-Tarn;28;2.7;34.8;8.3;22.2;0;17.2;2.8
32013;Auch;37;3.4;34.8;7;22.2;1.6;N/A - secret statistique;3.2
32096;Cazaubon;29.6;2.2;12.3;12.3;21;2.4;N/A - secret statistique;4.9
32107;Condom;32.5;3.5;14.7;8.1;20.5;2.8;21.3;2.2
32119;Eauze;31.7;3.8;8.9;10.7;26.8;1.8;22.4;6.2
32132;Fleurance;35.5;3.9;20.6;3.4;23.3;2.7;19.9;4.1
32147;Gimont;31.8;3.5;27;9;18;3.6;17.4;3.6
32160;L'Isle-Jourdain;26.4;2.7;53.3;7.8;16.4;4.9;N/A - secret statistique;2.1
32208;Lectoure;33.4;4.5;17.8;10.7;14.2;3.4;18.2;3.6
32233;Marciac;27.6;2.6;38.3;7.7;23;7.5;N/A - secret statistique;3.8
32242;Masseube;27.4;4.1;35.1;14;25.8;4.7;21;3.5
32249;Mauvezin;31.1;3.1;15.1;7.5;22.6;0;18.6;3
32256;Mirande;31.1;3.3;21.9;7.6;25.1;2.1;N/A - secret statistique;3.3
32296;Nogaro;26.4;3.4;0;7.1;15.9;3.4;20.3;1.8
32319;Plaisance;29.1;2.7;14.2;8.5;29.7;0;23.7;4.2
32344;Riscle;29.5;2.5;0;6.7;22.4;0;23.2;2.2
32410;Samatan;27.2;5.1;32.9;13.2;21.9;2.2;18.3;3.3
32462;Vic-Fezensac;34.3;3;17.4;7.8;16.6;1.7;19.9;4.4
33005;Andernos-les-Bains;35.9;4.8;50.2;12.5;22.1;4.7;24.9;2.5
33011;Arès;31;5.3;92.6;9.3;58.7;0;24.5;3.1
33036;Bazas;36.9;4;26.4;9.3;25.6;1.7;22;3.5
33042;Belin-Béliet;26.4;3.7;47.6;7.7;17.3;1.2;15.8;2.4
33051;Biganos;28.6;4.3;39.2;8.6;23.5;3;16.8;2.1
33058;Blaye;22.7;3.1;21.4;6.1;20.8;1.8;20.6;3.4
33063;Bordeaux;31.3;5.6;51.2;12.1;16.8;2.8;15.7;3.1
33081;Cadillac-sur-Garonne;36.3;4.6;42.4;8.5;17;1.4;18.6;3.5
33104;Castelnau-de-Médoc;32.4;4.6;54.1;6;21.7;3.6;15.8;3
33108;Castillon-la-Bataille;30.1;3.2;15;6;23.9;1;20.2;3
33114;Cavignac;24.5;3.4;20.7;6.2;17.8;2.4;17.7;2.9
33138;Coutras;33.5;2.9;18.6;4.3;25.4;1.8;21.1;2.8
33140;Créon;39.8;3.3;42;10.3;27.1;1.8;17.8;2.8
33203;Hourtin;33.2;3.9;49.7;9.9;22.3;4.9;23.6;2.5
33213;La Brède;35.2;2.7;30.8;8;16.7;4.9;14.4;2.5
33214;Lacanau;31.1;5.8;64.1;14.1;23.1;5.1;23.2;3.8
33226;Langoiran;34.9;3.9;28.1;16.9;16.9;0;16.8;2.8
33227;Langon;38.7;4.9;36.1;12;18;4.2;19.6;2.6
33236;Lège-Cap-Ferret;28;4.9;7.9;11.8;25.3;4.7;22.1;3.9
33240;Lesparre-Médoc;23.2;3.9;28.7;9.6;21.5;0.9;24.7;3.8
33243;Libourne;33.2;4.3;30.6;10.6;20.4;3;17.7;3
33314;Pauillac;27.1;3.9;9;9;15.8;1.8;19.9;2.3
33327;Podensac;35.6;3.8;40;8;25.5;3;15.7;2.5
33352;La Réole;32.2;3.4;6.7;6.7;24.9;0;20.8;2.7
33366;Saint-André-de-Cubzac;26.5;3.7;48.8;8.4;18.2;4.4;16.6;2.4
33402;Sainte-Foy-la-Grande;25;3.2;23.6;6.4;22.2;1.9;20;3
33478;Saint-Seurin-sur-l'Isle;34.1;2.8;0;5.5;12.8;0;23.8;1.8
